ID	Title	Issue type	Value
225	Dani otvorene nauke (II) u Beogradu	Joomla internal link	index.php?option=com_content&amp;view=article&amp;id=280&amp;Itemid=149
231	Usvojene institucionalne politike otvorene nauke	Joomla internal link	index.php?option=com_content&amp;view=article&amp;id=271&amp;Itemid=118
234	Serbia.RDM vebinar: Institucionalna infrastruktura i podrška upravljanju istraživačkim podacima	Joomla internal link	https://rdm.open.ac.rs/index.php/17-vesti/37-eosc-project-approved
240	Troškovi objavljivanja u otvorenom pristupu: opcije i popusti	Joomla internal link	index.php?option=com_content&amp;view=article&amp;id=134&amp;Itemid=339
240	Troškovi objavljivanja u otvorenom pristupu: opcije i popusti	Joomla internal link	http://www.itn.sanu.ac.rs/sekcija/index.php/apc
244	Projekat NI4OS-Europe na Danima otvorene nauke (III)	Joomla internal link	index.php?option=com_content&amp;view=article&amp;id=279&amp;Itemid=148
247	Dani otvorene nauke u Srbiji (III): Dvodnevna Zoom konferencija posvećena otvorenoj nauci	Joomla internal link	index.php?option=com_content&amp;view=article&amp;id=279&amp;Itemid=148
269	Nacionalni portal otvorene nauke	Joomla internal link	index.php/otvorena-nauka/otvoreni-pristup
269	Nacionalni portal otvorene nauke	Joomla internal link	index.php/otvorena-nauka/podaci
269	Nacionalni portal otvorene nauke	Joomla internal link	index.php/otvorena-nauka/metodologija
269	Nacionalni portal otvorene nauke	Joomla internal link	index.php/otvorena-nauka/otvorena-evaluacija
269	Nacionalni portal otvorene nauke	Joomla internal link	index.php?option=com_content&amp;view=article&amp;id=20&amp;Itemid=130&amp;lang=sr
269	Nacionalni portal otvorene nauke	Joomla internal link	index.php/sharing-publishing/data-share
270	Rečnik termina vezanih za otvorenu nauku	Joomla internal link	http://www.sherpa.ac.uk/romeo/index.php
279	Dani otvorene nauke III	Joomla internal link	https://wiki.ni4os.eu/index.php/License_Clearance_Tool_-_Description_and_Documentation
288	Testirajte NI4OS-Europe servise!	Joomla internal link	https://training.ni4os.eu/course/index.php?categoryid=9
288	Testirajte NI4OS-Europe servise!	Joomla internal link	https://training.ni4os.eu/course/index.php?categoryid=9
288	Testirajte NI4OS-Europe servise!	Joomla internal link	https://training.ni4os.eu/course/index.php?categoryid=8
288	Testirajte NI4OS-Europe servise!	Joomla internal link	https://training.ni4os.eu/course/index.php?categoryid=8
288	Testirajte NI4OS-Europe servise!	Joomla internal link	https://training.ni4os.eu/course/index.php?categoryid=13
288	Testirajte NI4OS-Europe servise!	Joomla internal link	https://training.ni4os.eu/course/index.php?categoryid=13
288	Testirajte NI4OS-Europe servise!	Joomla internal link	https://survey.ipb.ac.rs/index.php/199927/
288	Testirajte NI4OS-Europe servise!	Joomla internal link	https://survey.ipb.ac.rs/index.php/199927/
290	Open Science Days IV	Joomla internal link	index.php?option=com_content&amp;view=article&amp;id=291&amp;Itemid=204
290	Open Science Days IV	Joomla internal link	index.php?option=com_content&amp;view=article&amp;id=292&amp;Itemid=210
300	Standard za dijamantski otvoreni pristup (za izdavače)	Joomla internal link	index.php?option=com_content&amp;view=article&amp;id=301&amp;Itemid=226
301	Politike časopisa	Joomla internal link	index.php?option=com_content&amp;view=article&amp;id=300&amp;Itemid=225
Module 94	Prijavite kompaniju ili organizaciju	Visforms module	Position: pristupnica
Module 96	Prijavite repozitorijum	Visforms module	Position: prijava
